"sim","N","beta0","beta1","muW","sigmaW","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-650",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113837159628147,-2.1971875448317,0.00321270944293984,0.00960430004855698,0.000853443786359463,-2.19671707496257,0.00323493923545019,0.013633241166417,0.00125463685419714,-2.20785874383452,0.011875734259177,0.0138868383967173,0.00303343932412006,-2.19690409253153,0.00376077425255527,0.00968892407943274,0.00103508627136321
"11422-651",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113472757472116,-2.20370008225039,0.0033600259680756,0.0109677310904639,0.000940833900958121,-2.20294012611589,0.00332447195413387,0.0151207005863852,0.00130569832785351,-2.20812078870664,0.0100341435226132,0.00771240043514955,0.0025267752238964,-2.20398951521652,0.00453649442167262,0.0109439997305118,0.00133651527928259
"11422-652",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113349614228084,-2.19852096200666,0.00326704890243436,0.00874617884389737,0.000917930900986554,-2.19746003409528,0.00320771336476848,0.0118845181392345,0.00126199692886664,-2.19502754801892,0.009719072386249,0.00954816116475362,0.00229746690327565,-2.19787144935865,0.00365985338824039,0.00831294963640314,0.00110947791215221
"11422-653",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113615150201873,-2.202006297267,0.00341291522932179,0.0105900082068527,0.000953952215776084,-2.20139685161191,0.00340799399400154,0.0146160898151816,0.00134349836910984,-2.19426413076562,0.0111685159494256,0.00972794126301669,0.00287386209848206,-2.20353542165878,0.00471790836888338,0.0109327177221397,0.00147924123138109
"11422-654",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.11396313354028,-2.19846386238951,0.00332264845538089,0.010153162696367,0.00088378163277125,-2.19745947676088,0.003288507207398,0.0137138728488406,0.00121483392158549,-2.1868151453231,0.0113806595881755,0.00648238830079513,0.00297894055981071,-2.201745010473,0.00459876116237985,0.0120532763641371,0.00143667811464214
"11422-655",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.11394458477893,-2.19417349648171,0.00335566963177119,0.00876194625329075,0.000938198919097068,-2.19348858507026,0.00329924569522415,0.012243577348936,0.00130726101417642,-2.19964277687576,0.0105171935128828,0.0104088198936885,0.00320970298144734,-2.19388670887651,0.00370568393906877,0.00871117011488661,0.00115272954387984
"11422-656",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113235846643992,-2.20398831871485,0.00350158215609759,0.01080193053649,0.00107172544726402,-2.20274620460279,0.00346264668646447,0.0147685888147049,0.00150804217968683,-2.22301976392573,0.0127488749650685,0.0156035684506644,0.00388533914955191,-2.20549823085382,0.00436490486835875,0.0112761511670861,0.00152782371385245
"11422-657",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113463802461735,-2.20729833272559,0.00337021508536385,0.0120246744145706,0.000919625160296639,-2.20630986050264,0.00334877898764872,0.0166116873032191,0.00129598364707938,-2.22252647935987,0.0107992042464457,0.0161547076763601,0.0028827671899431,-2.20734621315881,0.00423171216953944,0.0124160544401654,0.00125736747316859
"11422-658",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113964775677423,-2.19895090582749,0.00329353548968599,0.0109040777802479,0.000914104043594576,-2.19684833557842,0.00322067100563749,0.0141173662218702,0.00122412726575737,-2.18708149570937,0.0114439116366086,0.00453782053098299,0.00437514625046766,-2.197372401961,0.00381312026372155,0.0101011692774781,0.00111439420256503
"11422-659",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.114202054581176,-2.19759607670355,0.00331848576440883,0.0102880641158363,0.000853609456156855,-2.19715162973254,0.00330787169262653,0.014543729669112,0.00121843014342159,-2.19384271584494,0.0105758896301482,0.00978802338936263,0.0026360856111193,-2.19895050519664,0.00428211268521773,0.0106304052056019,0.00117562657249645
"11422-660",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113744426911792,-2.19935395921236,0.00321201125381584,0.00945644498475361,0.000798441182813322,-2.19899080212193,0.00320659339886913,0.013554596850044,0.00115689189486059,-2.17908262557279,0.0107579134057334,0.00253408429801038,0.00295936148783812,-2.19821774316469,0.00368280721185505,0.00922246117354399,0.00100399817796743
"11422-661",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113893281301339,-2.1987236096349,0.00341203751606047,0.0102910535767788,0.000956096480316698,-2.19705094130251,0.00334512865784992,0.0138122797907022,0.00131858935983368,-2.19696159742013,0.0122332509468837,0.00855945633246142,0.00291321244134531,-2.19892045879118,0.00450272792619242,0.0103549397284608,0.0015182377950135
"11422-662",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113708578395686,-2.19831442520285,0.00324854728484827,0.00896132193057737,0.00081595417465597,-2.19739110354389,0.00322298494646093,0.0125026339673013,0.00116385555931872,-2.18476819539404,0.0102670267199592,0.00636805069837041,0.00305003827997848,-2.19660563087795,0.00335607900025103,0.00782852836370246,0.000824016305407201
"11422-663",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113666491947779,-2.2011019449268,0.00345554693223227,0.00979658548975033,0.00091958195739643,-2.20055825077134,0.00343347136020712,0.013848314772498,0.00131107970010105,-2.19071148402899,0.0113768730548559,0.00767222792070988,0.00269411421056538,-2.19688115847593,0.00458757987850123,0.00804204062657816,0.00141161173207768
"11422-664",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.114080831081842,-2.19384086334324,0.00332773362226385,0.00873052667391502,0.000884141021822322,-2.19329573437792,0.00329438279202698,0.0122476775087858,0.00124465744225559,-2.18454750264187,0.0100619728170174,0.00684513752850886,0.00211678807602743,-2.19278191303516,0.00554353491164614,0.00801975543439245,0.00167950786637042
