"sim","N","beta1","maxW","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11427-78",340,0.00995033085316809,1.25,0.1,0.0718263267695135,0.0118221546439759,0.00132468971830951,0.0107998778459667,0.00120964577444452,0.0181641291841547,0.0051309779747411,0.0121630182490308,0.00141651249790095
"11427-79",340,0.00995033085316809,1.25,0.1,0.0721023730314322,0.00955728647434468,0.00112146606481804,0.00846182103148767,0.000985812351140143,0.00445858184365222,0.00331034804187712,0.00979772447775307,0.00115924430754623
"11427-80",340,0.00995033085316809,1.25,0.1,0.0716227367949614,0.011306943555529,0.00122198243384845,0.00957181121760831,0.00106507359953617,0.00827313099907208,0.00536418340382019,0.0110474764801816,0.00124942858923747
"11427-81",340,0.00995033085316809,1.25,0.1,0.0716739683471128,0.0107679824699604,0.00124997539075177,0.00932206279887906,0.001114453510824,0.00380726122503499,0.00429235010323022,0.0110609570952635,0.00139314848442057
"11427-82",340,0.00995033085316809,1.25,0.1,0.0721066782990803,0.00962756570974656,0.00120121645022155,0.00868038074852755,0.00108690832710694,0.0183454082139416,0.00504997768617842,0.0103541225671924,0.00138594467422263
"11427-83",340,0.00995033085316809,1.25,0.1,0.0716768908523477,0.00763976242427664,0.00121545188677179,0.00663861689351483,0.00107169365854166,0.0141203023895343,0.00508431142034224,0.00797283748638353,0.00130187943718336
"11427-84",340,0.00995033085316809,1.25,0.1,0.0713382244745278,0.0102150593123801,0.00126310340919751,0.00892490678632847,0.00110518693058171,0.00843104692024071,0.00563090909822534,0.00993172326988994,0.00132786490460969
"11427-85",340,0.00995033085316809,1.25,0.1,0.0715664379384679,0.00940435566393435,0.00129258914151958,0.00830027098175755,0.00114551879044174,0.00447113905163027,0.00389940942557454,0.00956719551922771,0.0013369376857144
"11427-86",340,0.00995033085316809,1.25,0.1,0.0716859839631847,0.00814066059282854,0.0012921131056193,0.00709125450642482,0.00113353213092904,-0.000839381653918479,0.00481205349518039,0.00803345741861071,0.00134104891969231
"11427-87",340,0.00995033085316809,1.25,0.1,0.0718766222392259,0.00961765531820525,0.00123878074810349,0.0084869362352021,0.001102318917869,0.0101662081134946,0.00356053532898273,0.00925742635309195,0.001270180154341
"11427-88",340,0.00995033085316809,1.25,0.1,0.0721347961128986,0.00920745260491093,0.0011806770502012,0.0079698517954561,0.0010593646901499,0.00846512863188214,0.00384461076259185,0.00912240697743628,0.00125680383865033
"11427-89",340,0.00995033085316809,1.25,0.1,0.0716193787424396,0.00913854107923886,0.00124393110944165,0.00771936009710393,0.00107124836217533,0.00871057869666043,0.0039986820025051,0.00861756019126706,0.00135354289885368
"11427-90",340,0.00995033085316809,1.25,0.1,0.0717405577965557,0.0110458542049037,0.00117861884777682,0.00944007017753224,0.00104117017453105,0.00464301715258141,0.00344781154233428,0.0108368452878503,0.00123086902522147
"11427-91",340,0.00995033085316809,1.25,0.1,0.071940910842874,0.0074940542836512,0.00116817209862346,0.00641083224692461,0.00103565543856392,0.00301305342908052,0.00353628513787525,0.00744147506367703,0.00130689914001384
"11427-92",340,0.00995033085316809,1.25,0.1,0.07154977178026,0.00975680801298848,0.00102697159771395,0.00878587693926067,0.000910387484053677,0.00959525865634152,0.00257741658599562,0.0107969042923133,0.00118117089698661
"11427-93",340,0.00995033085316809,1.25,0.1,0.0714392023016823,0.0112731058231932,0.00136607905684221,0.0096908637902217,0.00119690570733967,0.00961629631152769,0.00296145270703163,0.0116972435270127,0.00152171169871985
"11427-94",340,0.00995033085316809,1.25,0.1,0.0716555456149288,0.0099873096468429,0.00108443736408945,0.00882682959348872,0.000967097875374206,0.0151823107973025,0.0050896343475219,0.01041699717767,0.00116278098450063
"11427-95",340,0.00995033085316809,1.25,0.1,0.0720406239982795,0.0109813351257895,0.00115878629660951,0.00983715940808774,0.00102792322389309,0.0101401846082025,0.00343131875798703,0.0103643628781035,0.00123834471155424
"11427-96",340,0.00995033085316809,1.25,0.1,0.07181920186547,0.0117105979801344,0.00136781580229481,0.00996385642299733,0.00118281144412013,0.014053499514047,0.00392567004329377,0.0116330443152007,0.0014958077315371
"11427-97",340,0.00995033085316809,1.25,0.1,0.0719566147168104,0.0108035952279325,0.00135251855209539,0.00928544701414735,0.00118772871991863,0.00592648713076594,0.00473094952858622,0.0107478574444995,0.00150071814482222
"11427-98",340,0.00995033085316809,1.25,0.1,0.0716830261192622,0.0108645112769643,0.00128128306106065,0.00956811492742142,0.00112810965916947,0.00422562535676442,0.00454976227254512,0.0112830749193486,0.0013991343833338
"11427-99",340,0.00995033085316809,1.25,0.1,0.0715946881423802,0.00962181160953981,0.00132043027092911,0.00862554371048702,0.00118013548182209,0.0148347185586306,0.00405047748048293,0.00996197465713921,0.00142886647562117
"11427-100",340,0.00995033085316809,1.25,0.1,0.0715750634188847,0.00961747239083274,0.00127174222121248,0.00869104885992956,0.00114356316378127,0.0121452610514318,0.00709930031211787,0.0102616642863038,0.00138831672728307
