"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11427-62",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113151369160522,0.0104293691307056,0.00100505271285147,0.00997447467826955,0.000996074756495953,0.0114571517795123,0.00351086479510044,0.0101920676517692,0.00146968099769653
"11427-63",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112551181141926,0.0103307112239687,0.00106596173859641,0.0101845132005061,0.00105807615617659,0.0123601116380003,0.00300829299412139,0.0112786903937926,0.00149652925002682
"11427-64",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.11243455429805,0.0108814887475989,0.00102307982613803,0.0100372146880082,0.00101206294734014,0.0130221257242002,0.00281203972594532,0.0111843174057627,0.00144165351080344
"11427-65",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113021756601435,0.0095157001682692,0.00102300991727999,0.00908686592779376,0.00100619251672131,0.00878815376859978,0.0049040728818135,0.0100663099659043,0.00131317316764244
"11427-66",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113061002476848,0.00806414311459326,0.000953134197400981,0.00773269347137008,0.000933966767502041,0.0125668708721161,0.00309106864814359,0.00891559474599922,0.00134780703566461
"11427-67",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112394997852229,0.00996245277519461,0.00101647383655362,0.00942836897895922,0.000994926776899387,0.0103920762320517,0.00375006299129726,0.00967917311000906,0.00160351002989622
"11427-68",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112747808999492,0.0109915235547144,0.000942558859099139,0.0106173877433596,0.000927545347041319,0.0157655356550669,0.00335764388545582,0.0108920881290375,0.00132346105152024
"11427-69",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113342354205269,0.00927216998711872,0.000897295778318755,0.00910091097233044,0.000874481943729212,0.00826730392222247,0.00309981567177711,0.00855533677417022,0.00100535090794516
"11427-70",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.11225613822439,0.0110974805255447,0.00102277426948004,0.0110770740030611,0.00101582307872023,0.0129146332597073,0.00257399587111229,0.0102769083716237,0.00139411054694813
"11427-71",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112894927104196,0.00860354847876093,0.000869534165610497,0.00827760372779421,0.000864230731873804,0.00756886351082353,0.00276978652511745,0.00865228125447836,0.00106691286749629
"11427-72",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112987011452757,0.00978136193141235,0.00101606739342163,0.00951256298618589,0.000993040059574571,0.00806983448624821,0.00281310046563397,0.00924198678247683,0.00156120239641522
"11427-73",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112913865161742,0.0114165535614707,0.0010205311437064,0.0109757055259238,0.000989176705389406,0.0136609278417014,0.00468709748753819,0.0119096424687767,0.00143797901183435
"11427-74",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112777785388972,0.0123152207508435,0.000972741219680974,0.0117070686777487,0.000957107035065304,0.00623839748340037,0.0030101833529861,0.0127472893305053,0.00125624623364579
"11427-75",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113032823995531,0.00904800288766875,0.000916683865472172,0.00872064880987963,0.00088738393835507,0.0137829839309143,0.00271566395576978,0.0087936161986977,0.00138684231216812
"11427-76",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112584352701548,0.0103528700358616,0.00105540352900509,0.0101525613323954,0.00103252691162791,0.0121186306377833,0.00304532270440864,0.0101776328280325,0.00149763543389917
"11427-77",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113267340627565,0.00947107751738922,0.000892828206964243,0.00931804366024488,0.00086997270173757,0.0115330449984458,0.00314912656532495,0.00918452309889279,0.00114930525342197
"11427-78",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113080141264387,0.0109250464044321,0.000887177705747031,0.010726086752974,0.000887617250272785,0.00799805863915985,0.0032628540394114,0.0108898506915066,0.00116761946590149
"11427-79",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112597843850005,0.0102271442282208,0.00105475689209177,0.0102066241269925,0.00105938878193565,0.0112651389907784,0.00275491854562474,0.0102167480349841,0.00126148458909132
"11427-80",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112929005271104,0.00907236332169644,0.000986957908216362,0.00872289971700353,0.00096186688735534,0.00521165358794506,0.00357928530141002,0.00984180015614908,0.00126936098012756
"11427-81",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112480578392489,0.00981922850649164,0.000966568058154472,0.00970106007413513,0.000974541484051237,0.00671115980312095,0.00252506915689785,0.00964766043914889,0.0012442057091728
"11427-82",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113022251662914,0.00996428211492158,0.000976820803158332,0.0094780979543205,0.000954521418448405,0.00971149524115625,0.0053874750586853,0.0111012687631559,0.00125895631612327
"11427-83",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112994330034704,0.00976172381560231,0.00100211539581663,0.0092519787614579,0.000981346581342239,0.01482173330655,0.00324329502712791,0.0102921840249328,0.001382063405604
