"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11428-72",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107456975096155,-0.0118878373458843,0.00104087429673514,-0.0114617207541996,0.00101119997106211,-0.0100947453377283,0.00381532687186799,-0.0117836530200436,0.00147273175394097
"11428-73",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107320907937865,-0.0116781352106776,0.00114684455214669,-0.0109912288242811,0.00111364107774772,-0.0103116855250345,0.00293053989733265,-0.0124032330596558,0.00138991214180068
"11428-74",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107126667118645,-0.00948699753198315,0.00104081045190916,-0.00936082837707395,0.00102249092296491,-0.0108590044038131,0.00345232457917779,-0.00955292334329437,0.00135625408595067
"11428-75",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106745407577736,-0.0102701118332503,0.000952634011722743,-0.00969213874428233,0.000933553599911091,-0.0145066860140835,0.00328472664665505,-0.0104662686615233,0.00150799072381705
"11428-76",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107298501326346,-0.010586209837039,0.00109661969970421,-0.0100920167156475,0.00107236841461061,-0.00750290660441584,0.00342706105069327,-0.0113419092501621,0.00186122682029656
"11428-77",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107267912915635,-0.00920947594875325,0.00118200131268788,-0.00871018428754619,0.00112937020673352,-0.0107802108436357,0.00395542485110453,-0.00939892184585694,0.00145389935450261
"11428-78",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.10791704774807,-0.0103071804235089,0.00113551706545769,-0.0100595136071395,0.00109906279677053,-0.00984038848920495,0.00332512461624965,-0.00939850154866378,0.00161246382754236
"11428-79",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107334278063399,-0.00913749421959251,0.00115414885227254,-0.00831970594476171,0.00111355962691383,-0.0120429406557853,0.00318527074355625,-0.0097547139874116,0.00137152638554699
"11428-80",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106745977926,-0.0104709726318424,0.0010049477308624,-0.0101602534401356,0.000993749817155349,-0.00486251995929787,0.00279393502632986,-0.0103043352092574,0.00153128127672214
"11428-81",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107690259133949,-0.0101947334700075,0.00117545478676272,-0.00983211025274347,0.00113428523394628,-0.00888270244862748,0.00381992341510564,-0.008581778201518,0.00154284201912835
"11428-82",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.10739981093878,-0.0109873183142697,0.00102102880139026,-0.0104255652492415,0.000993506638466856,-0.00786856753022591,0.00336264394558931,-0.0107618415738585,0.00161406229404209
"11428-83",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107239223154792,-0.0102112298762579,0.00100746660401927,-0.00999316194210162,0.000981677715435968,-0.0177659956332483,0.0040627489475341,-0.0110651019827961,0.00139020120853076
"11428-84",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107144299681197,-0.0101070450400581,0.00112748878383763,-0.00950785628061349,0.00110129697202733,-0.0115339419367471,0.00259052259324259,-0.00864629570368912,0.00195784329791251
"11428-85",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107601197565694,-0.0078561691392742,0.00117194836137258,-0.00735220518992406,0.00115117045597957,-0.0100612545716741,0.00352584841550241,-0.00800602138792098,0.00161235483938527
"11428-86",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106905108361288,-0.00952454003662159,0.00109198828158844,-0.00934753974888061,0.0010728593205993,-0.0063020080083728,0.00337475572836238,-0.00874276336477949,0.00173296308887229
"11428-87",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107348171348675,-0.00960806590145347,0.00107724942636172,-0.00894237757539049,0.0010605873550826,-0.0124449148340919,0.00407227856146135,-0.0100285429896119,0.00139720604870945
"11428-88",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107409484615289,-0.00788616088789291,0.00111235261776202,-0.00765370831095459,0.0010814438489633,-0.00973209677506191,0.00397213380673644,-0.00751526489186285,0.00172630259311942
"11428-89",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107422626084123,-0.00945751615049334,0.00106700939877048,-0.00925015691040878,0.00104051666737045,-0.0161982395889453,0.0033819208972964,-0.00899857748944956,0.00156320590530719
"11428-90",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107008163113632,-0.00994419973117499,0.00091656315907685,-0.00950433832983795,0.000906078116893737,-0.00559851966581775,0.00299930290601991,-0.00980721572709887,0.00115094473161617
"11428-91",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.10718087927159,-0.0116199688429015,0.000943719777136509,-0.0113404041932249,0.000927156779159371,-0.00996863101142194,0.00312856348583987,-0.0127122437720622,0.00130084061274672
"11428-92",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107806845025216,-0.00962199809590487,0.00113782547758384,-0.00924729260789818,0.00111735451510572,-0.00515083983651866,0.00440062585240752,-0.00828684520558094,0.0016037929448165
"11428-93",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107456894158653,-0.0105002832684129,0.00104115282754328,-0.0102310067719631,0.00100813149071776,-0.00898389079148615,0.00364272587925247,-0.00936300647726378,0.00142550423861212
"11428-94",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107312296597541,-0.0108907544497284,0.00106788439416244,-0.0102133888692494,0.00104815869704661,-0.0106492185790694,0.00486056015062915,-0.0116694530363761,0.00121760726671127
"11428-95",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106922080592238,-0.00983101859687832,0.00110979462062248,-0.0095799447442416,0.00108694517941084,-0.00907660744625391,0.00615724245568466,-0.0102078715740226,0.0018952444036665
"11428-96",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107847298176157,-0.0101696767262719,0.00119505294472424,-0.0096751793041536,0.00116653964656603,-0.0119703182380974,0.00330138385384836,-0.00995503653282423,0.00154902344713537
"11428-97",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106846116841444,-0.00975360576555385,0.000976053762807357,-0.0092785545463858,0.000960800617420689,-0.00316194568653399,0.00331525876346562,-0.0098131057986297,0.00130321277099205
"11428-98",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107567952777813,-0.00862130696082613,0.00102058556644747,-0.0079821247336955,0.000985194461143469,-0.00603046795736266,0.00296795654666012,-0.00847468577559725,0.00129687764036685
"11428-99",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107271908841812,-0.00816162338039217,0.0010094470710477,-0.00764952163931377,0.000992916432356617,-0.00768638928032677,0.00294673022583974,-0.00714310041640449,0.00113134845790483
"11428-100",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107694273577613,-0.0106536074214395,0.00104320796068806,-0.00976379239011835,0.00101797858603641,-0.0131062354500117,0.0043187193227133,-0.0115281459802156,0.00148795190636367
