"sim","N","beta0","beta1","muW","sigmaW","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-298",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113636502997532,-2.1992700545668,0.00140340088329658,0.009461297030154,0.000377348243347091,-2.19239005491964,0.00130237517182974,0.0135403438170575,0.000637525568894353,-2.19906499376993,0.00423438649038714,0.00940477338973549,0.00121295509583758,-2.19664163899808,0.002585213348335,0.0088949332354649,0.00095167238045089
"11422-299",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113585165591066,-2.20140040022927,0.00140443672274729,0.0103578163932065,0.000386799494144864,-2.19380173065478,0.0013038825615271,0.014746171189122,0.000659673975762516,-2.19797135000886,0.00439568430950942,0.00998688996547003,0.00110636474703796,-2.20082390691948,0.00255646055803184,0.00984595096493696,0.000844311193467275
"11422-300",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.11358726700729,-2.19886667269654,0.00139798755432165,0.00963975139094944,0.000394336500203581,-2.19244749669434,0.00129842336210093,0.0138386911965584,0.000659279104636961,-2.20572131825845,0.004320117250101,0.0105530721920559,0.00112304774270254,-2.20051432880885,0.00261000236518477,0.0100498087854566,0.000897595814343076
"11422-301",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113674493873346,-2.20005191862339,0.00140403412817565,0.00986743564058102,0.000376234392746232,-2.192547989869,0.00129319360715442,0.0138406921885688,0.000621968330381848,-2.19261981656936,0.00427594992883744,0.00932046082291011,0.00109146069485935,-2.19877028088956,0.002534237634382,0.00966651586430866,0.000750029509992019
"11422-302",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113489901872081,-2.20020573961507,0.00140216409125749,0.00987493530151826,0.000398243516950821,-2.19351501186689,0.00130321448244353,0.0145566319987955,0.000691289245877591,-2.19676154788128,0.00451413309729867,0.0096014542827827,0.00134234823198583,-2.20027510247771,0.00300611363643388,0.00994580620295184,0.00111517476205532
"11422-303",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113650073260452,-2.1992397618628,0.00140207080235973,0.00957867554128367,0.00037964309349237,-2.1923333346691,0.00129469125992901,0.0139215523629907,0.000643000734041127,-2.19470520169021,0.00452316132708504,0.00870748028881293,0.00113774548683345,-2.19985365262266,0.00322835174580907,0.00973103002582907,0.00103786530569483
"11422-304",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113631275601685,-2.20068574202025,0.00142054340739766,0.0103966129371756,0.000401807084412047,-2.19356789941684,0.00131749992411296,0.015115484138934,0.000686122367747853,-2.19329733260752,0.00469837468314182,0.0072078488622229,0.00151471491116365,-2.19938206570513,0.00277745491592928,0.010577314792269,0.00112858709032931
"11422-305",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113429662873568,-2.20309425689778,0.00144568655439696,0.0108992269332714,0.000424963164675762,-2.1957000514481,0.00134168085869607,0.0157026542446201,0.000728146144694853,-2.19944148183191,0.00436332508717292,0.00802349716017779,0.00128918162192754,-2.19915043573006,0.0035136945333783,0.0093730492112899,0.00119477952032802
"11422-306",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113687746567272,-2.20002388710518,0.00140318577823087,0.00998308678348614,0.000378776264255499,-2.19296208656145,0.00131703566287595,0.0146669985140129,0.000669264344227942,-2.19842813884815,0.0046925830320781,0.00980583890688685,0.00143715288438654,-2.19908667505497,0.0024939008275588,0.0101755546098433,0.000791390605795476
"11422-307",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.1135921832111,-2.20121576619955,0.00140456986858402,0.0102485610319951,0.000384399184112893,-2.19390878404911,0.00129350088717215,0.0146764699004804,0.000637249644663598,-2.20193519018109,0.00446256391026036,0.00971926214903015,0.00121790870496351,-2.20009537280851,0.00233234705633331,0.00966655656102684,0.000694320364785655
