"","STATEFP","COUNTYFP","TRACTCE","POPULATION","LATITUDE","LONGITUDE"
"409",37,51,702,2330,35.051919,-78.910007
"410",37,51,800,2654,35.059979,-78.897779
"411",37,51,900,4733,35.071662,-78.915954
"412",37,51,1000,2605,35.082569,-78.907202
"413",37,51,1100,4251,35.086784,-78.897477
"414",37,51,1200,5617,35.089629,-78.87937
"415",37,51,1400,6146,35.030923,-78.826527
"416",37,51,1500,2863,34.984619,-78.889762
"417",37,51,1601,7128,34.971115,-78.94595
"418",37,51,1603,4344,34.996557,-78.929231
"419",37,51,1604,7356,34.989872,-78.913723
"420",37,51,1700,8716,35.009908,-78.942852
"421",37,51,1800,2237,35.03358,-78.941455
"422",37,51,1901,2204,34.997911,-78.967113
"423",37,51,1902,4774,35.023125,-78.957021
"424",37,51,1903,4326,35.024664,-78.968089
"425",37,51,2001,2734,35.065766,-78.968412
"426",37,51,2002,5022,35.051209,-78.962532
"427",37,51,2100,4258,35.075118,-78.941886
"428",37,51,2200,1786,35.095146,-78.962526
"429",37,51,2300,4846,35.09352,-78.939722
"430",37,51,2401,2005,35.108017,-78.93159
"431",37,51,2402,3379,35.109982,-78.912506
"432",37,51,2501,7267,35.118847,-78.901465
"433",37,51,2502,7080,35.130834,-78.868134
"434",37,51,2503,5262,35.137125,-78.884941
"435",37,51,2504,6127,35.153382,-78.898448
"436",37,51,2600,4218,35.135686,-78.766779
"437",37,51,2700,8114,35.087771,-78.737879
"438",37,51,2800,6253,35.022832,-78.703804
"439",37,51,2900,4559,34.918661,-78.702164
"440",37,51,3001,10808,34.912612,-78.891136
"441",37,51,3002,2751,34.918278,-78.830277
"442",37,51,3102,4019,34.965822,-79.020147
"443",37,51,3103,5325,34.966458,-78.979946
"444",37,51,3104,6524,34.949504,-78.956326
"445",37,51,3201,11431,34.998323,-79.017942
"446",37,51,3203,5884,35.026525,-78.979035
"447",37,51,3204,8569,35.020402,-78.99323
"448",37,51,3205,5316,35.025566,-79.013737
"449",37,51,3302,4985,35.051654,-78.991083
"450",37,51,3304,7404,35.088296,-78.979961
"451",37,51,3305,6350,35.094525,-79.005406
"452",37,51,3307,4467,35.047839,-79.015789
"453",37,51,3309,6134,35.074446,-78.996472
"454",37,51,3310,5500,35.067078,-79.008079
"455",37,51,3311,2752,35.060089,-79.002452
"456",37,51,3312,6980,35.066585,-79.056668
"457",37,51,3313,5335,35.042692,-79.076725
"458",37,51,3314,7126,35.046486,-79.050523
"459",37,51,3401,3936,35.164734,-78.989021
"460",37,51,3402,1947,35.152048,-79.013433
"461",37,51,3403,3618,35.141608,-79.013747
"462",37,51,3404,1093,35.128443,-79.0156
"463",37,51,3405,1975,35.131842,-79.010757
"464",37,51,3406,1523,35.149258,-78.993164
"465",37,51,3407,2316,35.117134,-78.991006
"466",37,51,3408,4725,35.141984,-78.970691
"467",37,51,3500,4621,35.173362,-78.980971
"468",37,51,3600,4981,35.194744,-78.97579
"469",37,51,3700,7322,35.215019,-78.833337
"470",37,51,3800,2977,35.055233,-78.884231
"471",37,51,980100,0,35.116571,-79.060167
"472",37,51,980200,505,35.181181,-78.938921
"473",37,53,110101,542,36.332927,-75.816212
"474",37,53,110102,1545,36.517166,-75.942951
"475",37,53,110200,6922,36.511443,-76.164246
"476",37,53,110301,4243,36.466819,-76.034553
"477",37,53,110302,2922,36.394369,-76.033436
"478",37,53,110401,3425,36.279038,-75.891124
"479",37,53,110402,3948,36.157222,-75.847136
"480",37,53,990100,0,36.393292,-75.792326
"481",37,55,970101,3675,36.122826,-75.736736
"482",37,55,970102,3220,36.075403,-75.715347
"483",37,55,970200,4636,36.034874,-75.680067
"484",37,55,970300,6278,36.008025,-75.692569
"485",37,55,970400,2789,35.954832,-75.630503
"486",37,55,970501,1246,35.860341,-75.792026
"487",37,55,970502,4322,35.314874,-75.556237
"488",37,55,970601,5995,35.915722,-75.684995
"489",37,55,970602,1759,35.843477,-75.6418
"490",37,55,990100,0,35.554722,-75.446758
"491",37,55,990200,0,35.505993,-75.650096
"492",37,57,60101,5633,35.994622,-80.054666
"493",37,57,60102,7213,35.995975,-80.128715
"494",37,57,60201,4909,35.967338,-80.185077
"495",37,57,60202,2424,36.008943,-80.199958
"496",37,57,60203,5528,35.957876,-80.23264
"497",37,57,60301,4534,35.970734,-80.271787
"498",37,57,60302,3620,35.985178,-80.302184
"499",37,57,60303,4372,35.938691,-80.343261
