"TractFIPS","CountyName","POP","DIABETES","OBESITY"
37035011602,"Catawba",5546,583,1753
37035011701,"Catawba",4280,433,1246
37035011702,"Catawba",6847,665,2041
37035011801,"Catawba",6218,541,1810
37035011802,"Catawba",5952,667,1911
37037020103,"Chatham",4335,425,1258
37037020104,"Chatham",4667,486,1172
37037020105,"Chatham",2920,202,824
37037020106,"Chatham",3861,348,1205
37037020200,"Chatham",7666,729,2354
37037020300,"Chatham",2929,349,1002
37037020401,"Chatham",5775,855,2235
37037020402,"Chatham",4693,629,1845
37037020500,"Chatham",3751,458,1280
37037020600,"Chatham",5351,696,1927
37037020701,"Chatham",4910,511,1257
37037020702,"Chatham",3887,397,1237
37037020800,"Chatham",8760,868,2716
37039930100,"Cherokee",4571,695,1619
37039930200,"Cherokee",2410,348,846
37039930300,"Cherokee",2439,300,798
37039930400,"Cherokee",6120,827,2094
37039930500,"Cherokee",4693,559,1469
37039930601,"Cherokee",3280,440,1093
37039930602,"Cherokee",3931,551,1329
37041930101,"Chowan",5424,944,2246
37041930102,"Chowan",2335,302,834
37041930200,"Chowan",7034,866,2554
37043950100,"Clay",5062,613,1605
37043950200,"Clay",5525,702,1829
37045950101,"Cleveland",5300,711,2020
37045950102,"Cleveland",2786,352,1045
37045950200,"Cleveland",4878,693,1913
37045950301,"Cleveland",4515,601,1784
37045950302,"Cleveland",5820,664,2090
37045950400,"Cleveland",6877,929,2559
37045950500,"Cleveland",3606,462,1353
37045950601,"Cleveland",3918,412,1395
37045950602,"Cleveland",6014,770,2358
37045950700,"Cleveland",6976,977,2644
37045950800,"Cleveland",4380,579,1674
37045950900,"Cleveland",2952,623,1417
37045951000,"Cleveland",3573,511,1380
37045951100,"Cleveland",2842,492,1220
37045951200,"Cleveland",5253,699,1976
37045951300,"Cleveland",2914,312,1017
37045951400,"Cleveland",6726,761,2408
37045951501,"Cleveland",5775,439,1773
37045951502,"Cleveland",1298,132,442
37045951503,"Cleveland",2463,254,858
37045951601,"Cleveland",4391,563,1744
37045951602,"Cleveland",4821,593,1847
37047930100,"Columbus",4198,597,1776
37047930200,"Columbus",2175,342,951
37047930300,"Columbus",2620,370,1041
37047930400,"Columbus",4062,618,1759
37047930500,"Columbus",4536,731,2033
37047930600,"Columbus",3878,582,1668
37047930700,"Columbus",4815,862,2230
37047930800,"Columbus",4170,505,1548
37047930900,"Columbus",4749,808,2223
37047931000,"Columbus",5687,774,2508
37047931100,"Columbus",3752,473,1531
37047931200,"Columbus",7803,991,3371
37047931300,"Columbus",5653,769,2380
37049960101,"Craven",3924,495,1119
37049960102,"Craven",4790,508,1596
37049960200,"Craven",8637,1236,3438
37049960300,"Craven",6858,1002,2572
37049960401,"Craven",4317,493,1291
37049960402,"Craven",3842,535,1311
37049960403,"Craven",4158,383,1102
37049960404,"Craven",3165,412,934
37049960500,"Craven",7977,974,2856
37049960600,"Craven",4980,767,1773
37049960700,"Craven",1850,193,581
37049960800,"Craven",3321,651,1522
37049960900,"Craven",2255,318,848
37049961001,"Craven",9336,841,2764
37049961002,"Craven",4170,443,1322
37049961100,"Craven",8979,773,2775
37049961201,"Craven",4095,78,1032
37049961202,"Craven",3748,60,791
37049961301,"Craven",3640,343,1158
37049961302,"Craven",5673,483,1912
37049961303,"Craven",3790,497,1388
37051000200,"Cumberland",1633,365,810
37051000500,"Cumberland",2194,358,924
37051000600,"Cumberland",5526,675,1868
37051000701,"Cumberland",5685,603,1689
37051000702,"Cumberland",2330,247,716
37051000800,"Cumberland",2654,295,908
37051000900,"Cumberland",4733,526,1667
37051001000,"Cumberland",2605,482,1141
37051001100,"Cumberland",4251,706,1675
37051001200,"Cumberland",5617,1045,2528
37051001400,"Cumberland",6146,1015,2576
37051001500,"Cumberland",2863,356,1068
37051001601,"Cumberland",7128,671,2517
37051001603,"Cumberland",4344,535,1729
37051001604,"Cumberland",7356,699,2663
37051001700,"Cumberland",8716,985,3374
37051001800,"Cumberland",2237,300,821
37051001901,"Cumberland",2204,261,834
37051001902,"Cumberland",4774,616,1815
37051001903,"Cumberland",4326,572,1683
37051002001,"Cumberland",2734,225,870
37051002002,"Cumberland",5022,553,1844
37051002100,"Cumberland",4258,418,1423
37051002200,"Cumberland",1786,201,704
37051002300,"Cumberland",4846,732,2055
37051002401,"Cumberland",2005,363,961
37051002402,"Cumberland",3379,403,1366
37051002501,"Cumberland",7267,916,2762
37051002502,"Cumberland",7080,574,2273
37051002503,"Cumberland",5262,485,1790
37051002504,"Cumberland",6127,668,2206
37051002600,"Cumberland",4218,540,1477
37051002700,"Cumberland",8114,909,2889
37051002800,"Cumberland",6253,663,2170
37051002900,"Cumberland",4559,589,1710
37051003001,"Cumberland",10808,1049,3762
37051003002,"Cumberland",2751,358,1057
37051003102,"Cumberland",4019,386,1371
37051003103,"Cumberland",5325,512,1912
37051003104,"Cumberland",6524,692,2440
37051003201,"Cumberland",11431,938,3738
37051003203,"Cumberland",5884,636,2236
37051003204,"Cumberland",8569,926,3282
37051003205,"Cumberland",5316,580,1930
37051003302,"Cumberland",4985,688,1999
37051003304,"Cumberland",7404,859,2614
37051003305,"Cumberland",6350,820,2452
37051003307,"Cumberland",4467,474,1680
37051003309,"Cumberland",6134,559,2025
37051003310,"Cumberland",5500,528,2140
37051003311,"Cumberland",2752,155,922
37051003312,"Cumberland",6980,678,2562
37051003313,"Cumberland",5335,481,2022
37051003314,"Cumberland",7126,713,2744
37051003401,"Cumberland",3936,134,1280
37051003402,"Cumberland",1947,34,472
37051003403,"Cumberland",3618,116,1209
37051003404,"Cumberland",1093,18,260
37051003405,"Cumberland",1975,56,619
37051003406,"Cumberland",1523,46,390
37051003407,"Cumberland",2316,40,577
37051003408,"Cumberland",4725,166,1484
37051003500,"Cumberland",4621,532,1738
37051003600,"Cumberland",4981,623,1948
37051003700,"Cumberland",7322,762,2534
37051003800,"Cumberland",2977,575,1406
37051980200,"Cumberland",505,10,134
37053110101,"Currituck",542,52,162
37053110102,"Currituck",1545,158,537
37053110200,"Currituck",6922,568,2250
37053110301,"Currituck",4243,387,1392
37053110302,"Currituck",2922,296,991
37053110401,"Currituck",3425,367,1165
37053110402,"Currituck",3948,447,1410
37055970101,"Dare",3675,357,963
37055970102,"Dare",3220,281,925
37055970200,"Dare",4636,367,1396
37055970300,"Dare",6278,528,1878
37055970400,"Dare",2789,246,795
37055970501,"Dare",1246,133,390
37055970502,"Dare",4322,472,1379
37055970601,"Dare",5995,636,1931
37055970602,"Dare",1759,157,519
37057060101,"Davidson",5633,412,1769
37057060102,"Davidson",7213,614,2208
37057060201,"Davidson",4909,531,1645
37057060202,"Davidson",2424,279,871
37057060203,"Davidson",5528,515,1764
37057060301,"Davidson",4534,427,1460
37057060302,"Davidson",3620,312,1141
37057060303,"Davidson",4372,403,1404
37057060304,"Davidson",3445,331,1168
37057060400,"Davidson",5533,554,1815
37057060500,"Davidson",5499,633,1898
37057060601,"Davidson",4342,370,1459
37057060602,"Davidson",2563,244,805
37057060700,"Davidson",4915,644,1903
37057060800,"Davidson",4538,718,1852
37057060900,"Davidson",5471,580,1954
37057061000,"Davidson",5158,609,1868
37057061100,"Davidson",6744,763,2273
37057061201,"Davidson",5844,813,2104
37057061202,"Davidson",2857,315,960
37057061300,"Davidson",2176,257,769
37057061400,"Davidson",3398,541,1499
37057061500,"Davidson",6214,1032,2542
37057061600,"Davidson",2926,396,1156
37057061701,"Davidson",4857,467,1560
37057061702,"Davidson",6730,788,2430
37057061703,"Davidson",4349,453,1549
37057061802,"Davidson",6740,641,2191
37057061803,"Davidson",3503,368,1192
37057061804,"Davidson",6536,726,2268
37057061901,"Davidson",6301,631,2099
37057061902,"Davidson",5308,611,1821
37057062001,"Davidson",4677,487,1553
37057062002,"Davidson",4021,499,1404
37059080100,"Davie",7745,829,2642
37059080200,"Davie",5207,506,1646
37059080300,"Davie",8657,935,2606
37059080400,"Davie",5151,469,1602
37059080500,"Davie",4428,470,1519
37059080600,"Davie",3659,436,1193
37059080700,"Davie",6393,761,2296
37061090100,"Duplin",10062,1288,4076
37061090200,"Duplin",4341,669,1811
37061090300,"Duplin",5783,1070,2609
37061090400,"Duplin",5962,871,2463
37061090501,"Duplin",5518,596,1943
37061090502,"Duplin",4608,595,1728
37061090600,"Duplin",3541,496,1374
37061090701,"Duplin",3933,535,1515
37061090702,"Duplin",6346,1067,2621
37061090801,"Duplin",3220,519,1398
37061090802,"Duplin",5191,769,2103
37063000101,"Durham",3152,382,1290
37063000102,"Durham",4535,522,1760
37063000200,"Durham",2946,295,1138
37063000301,"Durham",2504,238,942
37063000302,"Durham",3426,216,1069
37063000401,"Durham",2523,167,745
37063000402,"Durham",1963,99,584
37063000500,"Durham",4093,430,1535
37063000600,"Durham",5177,513,1895
37063000700,"Durham",2830,272,951
37063000900,"Durham",1668,287,798
37063001001,"Durham",3466,600,1675
37063001002,"Durham",5974,1124,3071
37063001100,"Durham",3225,578,1581
37063001301,"Durham",1128,218,557
37063001303,"Durham",3676,317,1361
37063001304,"Durham",2557,540,1279
37063001400,"Durham",2609,520,1342
37063001501,"Durham",3070,71,743
37063001502,"Durham",5986,509,2108
37063001503,"Durham",1941,32,410
37063001601,"Durham",5806,657,2050
37063001603,"Durham",6271,577,2051
37063001604,"Durham",6645,605,2087
37063001705,"Durham",4519,493,1555
37063001706,"Durham",4179,272,1300
37063001707,"Durham",6485,591,1849
37063001708,"Durham",3989,531,1648
37063001709,"Durham",6109,941,2756
37063001710,"Durham",4705,518,1887
37063001711,"Durham",4503,428,1838
37063001801,"Durham",7123,884,2964
37063001802,"Durham",6736,984,3092
37063001806,"Durham",5672,596,2252
37063001807,"Durham",9416,1017,3852
37063001808,"Durham",5046,389,1666
37063001809,"Durham",5148,397,1854
37063001900,"Durham",2847,214,886
37063002007,"Durham",4854,413,1491
37063002008,"Durham",2907,221,809
37063002009,"Durham",4685,895,2179
37063002013,"Durham",4481,363,1466
37063002015,"Durham",5127,503,1841
37063002016,"Durham",5384,404,2009
37063002017,"Durham",6654,526,1870
37063002018,"Durham",7483,547,2088
37063002019,"Durham",4408,247,1164
37063002020,"Durham",5894,390,1775
37063002021,"Durham",4432,275,1330
37063002022,"Durham",4307,276,1340
37063002023,"Durham",2808,205,879
37063002024,"Durham",5848,351,1726
37063002025,"Durham",5938,481,2043
37063002026,"Durham",5813,657,2337
37063002027,"Durham",7272,546,2524
37063002028,"Durham",6001,301,1843
37063002100,"Durham",6362,649,2144
37063002200,"Durham",1946,123,633
37063002300,"Durham",1331,160,569
37065020200,"Edgecombe",6059,1327,2848
37065020300,"Edgecombe",5370,903,2358
37065020400,"Edgecombe",4958,997,2246
37065020600,"Edgecombe",3525,494,1435
37065020700,"Edgecombe",2201,366,896
37065020800,"Edgecombe",3716,591,1502
37065020900,"Edgecombe",2939,606,1370
37065021000,"Edgecombe",3409,614,1385
37065021100,"Edgecombe",3957,543,1476
37065021200,"Edgecombe",5207,834,1984
37065021300,"Edgecombe",4860,627,1774
37065021400,"Edgecombe",4141,526,1545
37065021500,"Edgecombe",3313,494,1266
37065021600,"Edgecombe",2897,371,1032
37067000100,"Forsyth",2052,156,663
37067000200,"Forsyth",1103,175,471
37067000301,"Forsyth",1799,402,893
37067000302,"Forsyth",1859,382,850
37067000400,"Forsyth",3251,631,1532
37067000500,"Forsyth",2391,498,1170
37067000600,"Forsyth",2056,484,1012
37067000700,"Forsyth",1764,362,800
37067000801,"Forsyth",3062,175,1179
37067000802,"Forsyth",2100,265,857
37067000900,"Forsyth",3508,397,1204
37067001000,"Forsyth",4652,377,1526
37067001100,"Forsyth",2254,210,729
37067001200,"Forsyth",1959,185,484
37067001300,"Forsyth",4535,200,998
37067001400,"Forsyth",3710,590,1618
37067001500,"Forsyth",4095,602,1733
37067001601,"Forsyth",3652,658,1520
37067001602,"Forsyth",3077,588,1419
