"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_noY","se_beta_noY","beta_Y","se_beta_Y","beta_logY","se_beta_logY","beta_logYoverPop","se_beta_logYoverPop","beta_logY_logPop","se_beta_logY_logPop"
"11425-74",100,0.00995033085316809,-0.7,0.6,0.1,0.0719922675247965,0.00769113359812716,0.00355056567353581,0.0113712170005021,0.00385852757605767,0.0113756546231149,0.00317271361031385,0.0112678005882475,0.00370518403725104,0.011334454271472,0.00344834384530514
"11425-75",100,0.00995033085316809,-0.7,0.6,0.1,0.0716730555601199,0.0128473140981527,0.00579243094411972,0.0112625266996184,0.00463842576217326,0.0116729693199514,0.00584829633936677,0.014906497223077,0.00527902264931739,0.0125445780369796,0.00458794302995686
"11425-76",100,0.00995033085316809,-0.7,0.6,0.1,0.0726120193816767,0.00621347064444321,0.00290939077586447,0.00677674182077078,0.00316519503678795,0.00685134525350536,0.00331604438640095,0.00786250762551098,0.0037302018189264,0.00702269984429763,0.00370640041353054
"11425-77",100,0.00995033085316809,-0.7,0.6,0.1,0.072310453421541,0.0113814189206891,0.00412959255373668,0.0133858050738292,0.00372635776653212,0.0135130989985923,0.00392969829535804,0.0120486450379048,0.00383931243393302,0.0123790857117005,0.0036244109556029
"11425-78",100,0.00995033085316809,-0.7,0.6,0.1,0.0724057724967955,0.00963768578084657,0.00318593586968138,0.0104442351259757,0.00391141400128279,0.0103955872511843,0.00328407539253347,0.0103207579929717,0.0031185715740692,0.00961928791884267,0.00349468884733037
"11425-79",100,0.00995033085316809,-0.7,0.6,0.1,0.0710071698912078,0.0139022690696937,0.00397898426076415,0.013056953114888,0.00365876307565355,0.0134400229509746,0.00440795752608357,0.0142340870200254,0.00376601282095081,0.0155828298336447,0.00343309638240083
"11425-80",100,0.00995033085316809,-0.7,0.6,0.1,0.0715418334843162,0.0115580950178499,0.00669578549522173,0.00971771253491426,0.00606841755504912,0.0102658308102808,0.00669286566559871,0.00993511298471533,0.00585555979713487,0.00913022191697618,0.00687220209294113
"11425-81",100,0.00995033085316809,-0.7,0.6,0.1,0.0707986780618053,0.00743451049092598,0.00350619835366536,0.00937734725806022,0.00353953032623879,0.0093062534977953,0.00356056889563244,0.00970379265347463,0.0038286239343834,0.0093380583053518,0.00365670740397634
"11425-82",100,0.00995033085316809,-0.7,0.6,0.1,0.0712408203563576,0.00913990163387861,0.0041449339762485,0.00993578298616187,0.00560264555350137,0.00965156185096958,0.00397994903348897,0.00980339150524412,0.00525186276812966,0.00949489060813831,0.00467262441695758
"11425-83",100,0.00995033085316809,-0.7,0.6,0.1,0.0713041699780599,0.00451853782720087,0.00383356482286892,0.00270841152146294,0.00404784798478788,0.00280379161701681,0.00369419701477201,0.00287898225205745,0.00361951741590489,0.00294914307859682,0.00399345406732175
"11425-84",100,0.00995033085316809,-0.7,0.6,0.1,0.072388661243339,0.0122173174311295,0.00593275968781798,0.0160906764594156,0.00481857138061579,0.0162372525736256,0.00476231203082427,0.0153929570696959,0.00579324953644275,0.0148881020680838,0.00474794159400195
"11425-85",100,0.00995033085316809,-0.7,0.6,0.1,0.0724159261871467,0.00661072832009783,0.00245543933147963,0.00616228725494006,0.00258956487039342,0.00607175026836025,0.00254837039099809,0.00585422070345292,0.00257478071605696,0.00576065776533579,0.00260249277047612
"11425-86",100,0.00995033085316809,-0.7,0.6,0.1,0.0715826722065392,0.00741792440785244,0.00430115119946743,0.00251530507680607,0.00354996088721832,0.00267054310478219,0.00336084825420689,0.00372451969946807,0.00367809782229865,0.00229671901541513,0.00375550619062197
"11425-87",100,0.00995033085316809,-0.7,0.6,0.1,0.0721872705249481,0.0143689841227286,0.00407487890329284,0.014999994791798,0.00509505310503292,0.0148044256934971,0.0044810117866328,0.0153524571764198,0.00480799172910848,0.0151738197394216,0.00522411843240724
"11425-88",100,0.00995033085316809,-0.7,0.6,0.1,0.0718148227410655,0.0124890398010191,0.00330742240758427,0.0142013707832581,0.00225598637418534,0.0142733155951214,0.00240610691774636,0.0139224936190325,0.00296694718555885,0.0139738365898461,0.00224920238463644
"11425-89",100,0.00995033085316809,-0.7,0.6,0.1,0.0714241076908578,0.00961581913378089,0.00333923797958439,0.00719705165131347,0.00362391459575022,0.00724343983296845,0.00357180659793815,0.00747293927653658,0.00370079663315332,0.00956582207423739,0.00398862210525266
"11425-90",100,0.00995033085316809,-0.7,0.6,0.1,0.0713920027801108,0.0131614527464583,0.00414869110800152,0.0118855463769814,0.00493871512120216,0.0120313349382995,0.00474709682923177,0.0123295265378292,0.00488236005871851,0.0122385624480334,0.00499960300874544
"11425-91",100,0.00995033085316809,-0.7,0.6,0.1,0.0708693300600407,0.00589013253822529,0.0041489375242737,0.00275268609214649,0.00404041779622956,0.00275425206060998,0.00361212813954225,0.00286572980528143,0.00321027262827139,0.00303067251334111,0.00389478493547437
"11425-92",100,0.00995033085316809,-0.7,0.6,0.1,0.0718547105106745,0.0148070675497949,0.00595065639664737,0.0183618482385736,0.00618324302074587,0.0179470390975697,0.0054804752103124,0.0191713757752957,0.00485368012175866,0.0198438649604948,0.0061968347670227
"11425-93",100,0.00995033085316809,-0.7,0.6,0.1,0.0719521947130051,0.0114695925396352,0.0033460632706046,0.0124594544044944,0.00283660938094588,0.0127092357277463,0.00290744585564581,0.0127776305200092,0.00305565578669462,0.0122163988189632,0.00295472460378588
